id,pid,url,host,keywords,label
300,296,http://ka.sina.com.cn/,ka.sina.com.cn,,新手卡
301,296,http://wanwan.sina.com.cn/,wanwan.sina.com.cn,,玩玩平台
302,296,http://qipai.sina.com.cn/,qipai.sina.com.cn,,新浪棋牌
303,296,http://wan.weibo.com/app/,wan.weibo.com,app,微游戏
304,296,http://kan.sina.com.cn/,kan.sina.com.cn,,美女直播
305,296,http://games.sina.com.cn/m/,games.sina.com.cn,m,手机游戏
306,296,http://games.sina.com.cn/ng/weixing/,games.sina.com.cn,ng|weixing,新游尾行
307,296,http://games.sina.com.cn/photo/,games.sina.com.cn,photo,美女图集
308,1,http://city.sina.com.cn/,city.sina.com.cn,,城市
309,308,http://sh.sina.com.cn/,sh.sina.com.cn,,上海
310,308,http://gd.sina.com.cn/,gd.sina.com.cn,,广东
311,308,http://henan.sina.com.cn/,henan.sina.com.cn,,河南
312,308,http://sc.sina.com.cn/,sc.sina.com.cn,,四川
313,308,http://fj.sina.com.cn/,fj.sina.com.cn,,福建
314,308,http://zj.sina.com.cn/,zj.sina.com.cn,,浙江
315,308,http://cq.sina.com.cn/,cq.sina.com.cn,,重庆
316,308,http://hb.sina.com.cn/,hb.sina.com.cn,,湖北
317,308,http://hunan.sina.com.cn/,hunan.sina.com.cn,,湖南
318,308,http://sx.sina.com.cn/,sx.sina.com.cn,,陕西
319,308,http://ln.sina.com.cn/,ln.sina.com.cn,,辽宁
320,308,http://mn.sina.com.cn/,mn.sina.com.cn,,闽南
321,308,http://hlj.sina.com.cn/,hlj.sina.com.cn,,黑龙江
322,308,http://ah.sina.com.cn/,ah.sina.com.cn,,安徽
323,308,http://hebei.sina.com.cn/,hebei.sina.com.cn,,河北
324,308,http://jiangsu.sina.com.cn/,jiangsu.sina.com.cn,,江苏
325,308,http://jx.sina.com.cn/,jx.sina.com.cn,,江西
326,308,http://shanxi.sina.com.cn/,shanxi.sina.com.cn,,山西
327,308,http://jl.sina.com.cn/,jl.sina.com.cn,,吉林
328,308,http://dl.sina.com.cn/,dl.sina.com.cn,,大连
329,308,http://tj.sina.com.cn/,tj.sina.com.cn,,天津
330,308,http://wx.sina.com.cn/,wx.sina.com.cn,,无锡
331,308,http://hainan.sina.com.cn/,hainan.sina.com.cn,,海南
332,308,http://sd.sina.com.cn/,sd.sina.com.cn,,山东
333,308,http://gx.sina.com.cn/,gx.sina.com.cn,,广西
334,308,http://nb.sina.com.cn/,nb.sina.com.cn,,宁波
335,-1,http://www.163.com/,www.163.com,,网易
336,335,http://news.163.com/,news.163.com,,新闻
337,336,http://news.163.com/latest/,news.163.com,latest,最新
338,336,http://news.163.com/rank/,news.163.com,rank,排行
339,336,http://news.163.com/domestic/,news.163.com,domestic,国内
340,336,http://news.163.com/world/,news.163.com,world,国际
341,336,http://news.163.com/shehui/,news.163.com,shehui,社会
342,336,http://news.163.com/review/,news.163.com,review,评论
343,336,http://focus.news.163.com/,focus.news.163.com,,深度
344,336,http://war.news.163.com/,war.news.163.com,,军事
345,336,http://history.news.163.com/,history.news.163.com,,历史
346,336,http://discovery.163.com/,discovery.163.com,,探索
347,336,http://news.163.com/photo/,news.163.com,photo,图片
348,336,http://blog.163.com/,blog.163.com,,博客
349,336,http://media.163.com/,media.163.com,,媒体
350,336,http://v.news.163.com/,v.news.163.com,,视频
351,336,http://lovegongyi.163.com/,lovegongyi.163.com,,公益
352,336,http://expo.163.com/,expo.163.com,,世博
353,335,http://ent.163.com/,ent.163.com,,娱乐
354,353,http://ent.163.com/star/,ent.163.com,star,明星
355,353,http://ent.163.com/movie/,ent.163.com,movie,电影
356,353,http://ent.163.com/tv/,ent.163.com,tv,电视
357,353,http://ent.163.com/music/,ent.163.com,music,音乐
358,353,http://ent.163.com/video/,ent.163.com,video,视频
359,353,http://ent.163.com/photo/,ent.163.com,photo,图片
360,353,http://ent.163.com/hk/,ent.163.com,hk,香港娱乐
361,353,http://ent.163.com/taiwan/,ent.163.com,taiwan,台湾娱乐
362,353,http://data.ent.163.com/,data.ent.163.com,,资料库
363,353,http://bbs.ent.163.com/,bbs.ent.163.com,,娱乐论坛
364,353,http://ent.163.com/latest/,ent.163.com,latest,滚动
365,353,http://music.163.com/,music.163.com,,云音乐
366,335,http://money.163.com/,money.163.com,,财经
367,366,http://money.163.com/stock/,money.163.com,stock,股票
368,366,http://money.163.com/special/00252G50/macro.html,money.163.com,special|macro,宏观
369,366,http://money.163.com/special/00252C1E/gjcj.html,money.163.com,special|gjcj,国际
370,366,http://money.163.com/chanjing/,money.163.com,chanjing,产经
371,366,http://biz.163.com/,biz.163.com,,商业
